"";"cache_id";"reporting_level";"area";"Nobs_rl_a";"Nobs_rl";"Nobs";"Perc_a";"Perc_rl"
"1";"AGO_2000_HBS_D1_CON_GPWG";"national";"urban";9091;10100;10100;0,9;1
"2";"AGO_2000_HBS_D1_CON_GPWG";"national";"rural";1009;10100;10100;0,1;1
"3";"AGO_2008_IBEP-MICS_D1_CON_GPWG";"national";"rural";20469;45398;45398;0,45;1
"4";"AGO_2008_IBEP-MICS_D1_CON_GPWG";"national";"urban";24929;45398;45398;0,55;1
"5";"AGO_2018_IDREA_D1_CON_GPWG";"national";"rural";22108;60504;60504;0,37;1
"6";"AGO_2018_IDREA_D1_CON_GPWG";"national";"urban";38396;60504;60504;0,63;1
"7";"ALB_1996_EWS_D1_CON_HIST";"national";"rural";1091;1503;1503;0,73;1
"8";"ALB_1996_EWS_D1_CON_HIST";"national";"urban";412;1503;1503;0,27;1
"9";"ALB_2002_LSMS_D1_CON_GPWG";"national";"rural";1640;3599;3599;0,46;1
"10";"ALB_2002_LSMS_D1_CON_GPWG";"national";"urban";1959;3599;3599;0,54;1
"11";"ALB_2005_LSMS_D1_CON_GPWG";"national";"urban";1999;3638;3638;0,55;1
"12";"ALB_2005_LSMS_D1_CON_GPWG";"national";"rural";1639;3638;3638;0,45;1
"13";"ALB_2008_LSMS_D1_CON_GPWG";"national";"urban";1976;3599;3599;0,55;1
"14";"ALB_2008_LSMS_D1_CON_GPWG";"national";"rural";1623;3599;3599;0,45;1
"15";"ALB_2012_LSMS_D1_CON_GPWG";"national";"rural";12344;25335;25335;0,49;1
"16";"ALB_2012_LSMS_D1_CON_GPWG";"national";"urban";12991;25335;25335;0,51;1
"17";"ALB_2014_HBS_D1_CON_GPWG";"national";"";25088;25088;25088;1;1
"18";"ALB_2015_HBS_D1_CON_GPWG";"national";"";27468;27468;27468;1;1
"19";"ALB_2016_HBS_D1_CON_GPWG";"national";"";26525;26525;26525;1;1
"20";"ALB_2017_HBS_D1_CON_GPWG";"national";"";26663;26663;26663;1;1
"21";"ALB_2017_SILC-C_D1_INC_GPWG";"national";"";20907;20907;20907;1;1
"22";"ALB_2018_HBS_D1_CON_GPWG";"national";"";25982;25982;25982;1;1
"23";"ALB_2018_SILC-C_D1_INC_GPWG";"national";"";22146;22146;22146;1;1
"24";"ALB_2019_HBS_D1_CON_GPWG";"national";"";7235;7235;7235;1;1
"25";"ALB_2019_SILC-C_D1_INC_GPWG";"national";"";22485;22485;22485;1;1
"26";"ALB_2020_HBS_D1_CON_GPWG";"national";"";18771;18771;18771;1;1
"27";"ARE_2014_HIES_D1_INC_SYNTH";"national";"national";100000;100000;100000;1;1
"28";"ARE_2019_HIES_D1_INC_SYNTH";"national";"national";100000;100000;100000;1;1
