"";"cache_id";"reporting_level";"area";"N"
"1";"AGO_2000_HBS_D1_CON_GPWG";"national";"urban";9091
"2";"AGO_2000_HBS_D1_CON_GPWG";"national";"rural";1009
"3";"AGO_2008_IBEP-MICS_D1_CON_GPWG";"national";"rural";20469
"4";"AGO_2008_IBEP-MICS_D1_CON_GPWG";"national";"urban";24929
"5";"AGO_2018_IDREA_D1_CON_GPWG";"national";"rural";22108
"6";"AGO_2018_IDREA_D1_CON_GPWG";"national";"urban";38396
"7";"ALB_1996_EWS_D1_CON_HIST";"national";"rural";1091
"8";"ALB_1996_EWS_D1_CON_HIST";"national";"urban";412
"9";"ALB_2002_LSMS_D1_CON_GPWG";"national";"rural";1640
"10";"ALB_2002_LSMS_D1_CON_GPWG";"national";"urban";1959
"11";"ALB_2005_LSMS_D1_CON_GPWG";"national";"urban";1999
"12";"ALB_2005_LSMS_D1_CON_GPWG";"national";"rural";1639
"13";"ALB_2008_LSMS_D1_CON_GPWG";"national";"urban";1976
"14";"ALB_2008_LSMS_D1_CON_GPWG";"national";"rural";1623
"15";"ALB_2012_LSMS_D1_CON_GPWG";"national";"rural";12344
"16";"ALB_2012_LSMS_D1_CON_GPWG";"national";"urban";12991
"17";"ALB_2014_HBS_D1_CON_GPWG";"national";"";25088
"18";"ALB_2015_HBS_D1_CON_GPWG";"national";"";27468
"19";"ALB_2016_HBS_D1_CON_GPWG";"national";"";26525
"20";"ALB_2017_HBS_D1_CON_GPWG";"national";"";26663
"21";"ALB_2017_SILC-C_D1_INC_GPWG";"national";"";20907
"22";"ALB_2018_HBS_D1_CON_GPWG";"national";"";25982
"23";"ALB_2018_SILC-C_D1_INC_GPWG";"national";"";22146
"24";"ALB_2019_HBS_D1_CON_GPWG";"national";"";7235
"25";"ALB_2019_SILC-C_D1_INC_GPWG";"national";"";22485
"26";"ALB_2020_HBS_D1_CON_GPWG";"national";"";18771
"27";"ARE_2014_HIES_D1_INC_SYNTH";"national";"national";100000
"28";"ARE_2019_HIES_D1_INC_SYNTH";"national";"national";100000
"29";"ARG_1980_EPH_D2_INC_SYNTH";"urban";"urban";100000
"30";"ARG_1986_EPH_D2_INC_HIST";"urban";"urban";11685
"31";"ARG_1987_EPH_D2_INC_HIST";"urban";"urban";11753
"32";"ARG_1991_EPH_D2_INC_GPWG";"urban";"urban";7652
"33";"ARG_1992_EPH_D2_INC_GPWG";"urban";"urban";60236
"34";"ARG_1993_EPH_D2_INC_GPWG";"urban";"urban";60297
"35";"ARG_1994_EPH_D2_INC_GPWG";"urban";"urban";58580
"36";"ARG_1995_EPH_D2_INC_GPWG";"urban";"urban";62341
"37";"ARG_1996_EPH_D2_INC_GPWG";"urban";"urban";59972
"38";"ARG_1997_EPH_D2_INC_GPWG";"urban";"urban";58157
"39";"ARG_1998_EPH_D2_INC_GPWG";"urban";"urban";90334
"40";"ARG_1999_EPH_D2_INC_GPWG";"urban";"urban";82927
"41";"ARG_2000_EPH_D2_INC_GPWG";"urban";"urban";75433
"42";"ARG_2001_EPH_D2_INC_GPWG";"urban";"urban";75416
"43";"ARG_2002_EPH_D2_INC_GPWG";"urban";"urban";69624
"44";"ARG_2003_EPHC-S2_D2_INC_GPWG";"urban";"urban";93040
"45";"ARG_2004_EPHC-S2_D2_INC_GPWG";"urban";"urban";94589
"46";"ARG_2005_EPHC-S2_D2_INC_GPWG";"urban";"urban";94690
"47";"ARG_2006_EPHC-S2_D2_INC_GPWG";"urban";"urban";129279
"48";"ARG_2007_EPHC-S2_D2_INC_GPWG";"urban";"urban";61712
"49";"ARG_2008_EPHC-S2_D2_INC_GPWG";"urban";"urban";124116
"50";"ARG_2009_EPHC-S2_D2_INC_GPWG";"urban";"urban";120554
"51";"ARG_2010_EPHC-S2_D2_INC_GPWG";"urban";"urban";118729
"52";"ARG_2011_EPHC-S2_D2_INC_GPWG";"urban";"urban";115054
"53";"ARG_2012_EPHC-S2_D2_INC_GPWG";"urban";"urban";110790
"54";"ARG_2013_EPHC-S2_D2_INC_GPWG";"urban";"urban";112009
"55";"ARG_2014_EPHC-S2_D2_INC_GPWG";"urban";"urban";122385
"56";"ARG_2016_EPHC-S2_D2_INC_GPWG";"urban";"urban";117651
"57";"ARG_2017_EPHC-S2_D2_INC_GPWG";"urban";"urban";116846
"58";"ARG_2018_EPHC-S2_D2_INC_GPWG";"urban";"urban";114242
"59";"ARG_2019_EPHC-S2_D2_INC_GPWG";"urban";"urban";115716
"60";"ARG_2020_EPHC-S2_D2_INC_GPWG";"urban";"urban";85429
"61";"ARG_2021_EPHC-S2_D2_INC_GPWG";"urban";"urban";98794
"62";"ARG_2022_EPHC-S2_D2_INC_GPWG";"urban";"urban";97747
"63";"ARM_1996_ILCS_D1_INC_SYNTH";"national";"national";100000
"64";"ARM_1999_ILCS_D1_CON_GPWG";"national";"urban";10923
"65";"ARM_1999_ILCS_D1_CON_GPWG";"national";"rural";7330
"66";"ARM_2001_ILCS_D1_CON_GPWG";"national";"urban";2741
"67";"ARM_2001_ILCS_D1_CON_GPWG";"national";"rural";1296
"68";"ARM_2002_ILCS_D1_CON_GPWG";"national";"urban";11268
"69";"ARM_2002_ILCS_D1_CON_GPWG";"national";"rural";7896
"70";"ARM_2003_ILCS_D1_CON_GPWG";"national";"urban";11371
"71";"ARM_2003_ILCS_D1_CON_GPWG";"national";"rural";7861
"72";"ARM_2004_ILCS_D1_CON_GPWG";"national";"urban";20471
"73";"ARM_2004_ILCS_D1_CON_GPWG";"national";"rural";8037
"74";"ARM_2005_ILCS_D1_CON_GPWG";"national";"urban";14166
"75";"ARM_2005_ILCS_D1_CON_GPWG";"national";"rural";6479
"76";"ARM_2006_ILCS_D1_CON_GPWG";"national";"urban";12188
"77";"ARM_2006_ILCS_D1_CON_GPWG";"national";"rural";8965
"78";"ARM_2007_ILCS_D1_CON_GPWG";"national";"urban";17725
"79";"ARM_2007_ILCS_D1_CON_GPWG";"national";"rural";15357
"80";"ARM_2008_ILCS_D1_CON_GPWG";"national";"rural";15192
"81";"ARM_2008_ILCS_D1_CON_GPWG";"national";"urban";17564
"82";"ARM_2009_ILCS_D1_CON_GPWG";"national";"rural";14926
"83";"ARM_2009_ILCS_D1_CON_GPWG";"national";"urban";17436
"84";"ARM_2010_ILCS_D1_CON_GPWG";"national";"urban";17242
"85";"ARM_2010_ILCS_D1_CON_GPWG";"national";"rural";15111
